GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AdvancedUnitTest,default,AlgorithmUtils,0,101,0,26,0,21,0,17,0,4
AdvancedUnitTest,default,AlgorithmUtils.Employee,0,15,0,0,0,6,0,3,0,3
